"date","infections_mean","infections_sd","inf_lo01","inf_hi99","inf_lo05","inf_hi95","inf_lo10","inf_hi90","R_mean","R_sd","R_lo01","R_hi99","R_lo05","R_hi95","R_lo10","R_hi90","crossing_prob","end_first_ix","end_first_date","start_second_ix","start_second_date","country","confirm","first_low_ix","second_max_ix","first_low_date","second_max_date"
2020-04-04,160.893441297767,16.3475862842485,127.321541725577,202.650019773416,135.625983783393,189.686642603899,140.443345074343,182.530633597886,0.628572247803665,0.0355890822700762,0.549555592150009,0.718178530416384,0.572184792623418,0.687069480047022,0.584093394364459,0.674266611678083,0,40,2020-04-04,109,2020-06-12,"Austria",241,40,116,2020-04-04,2020-06-19
2020-04-05,144.501760661934,14.7108308593724,113.868496668731,182.701083825816,121.768915809279,170.260044051614,126.192589340523,163.881913267973,0.629972854603519,0.035861233572302,0.550089773783202,0.719596006061982,0.57295777499323,0.690357265785032,0.585240914763731,0.675796572380825,0,40,2020-04-04,109,2020-06-12,"Austria",217,40,116,2020-04-04,2020-06-19
2020-04-06,130.212553825636,13.3057853282222,102.865602028473,165.095262222701,109.467498380496,153.43695424101,113.634656980719,147.59626300688,0.633546692794471,0.0362056125253399,0.553021154555684,0.723765532461971,0.576266780246786,0.695283651499101,0.589052982725966,0.679908644484174,0,40,2020-04-04,109,2020-06-12,"Austria",314,40,116,2020-04-04,2020-06-19
2020-04-07,117.788058743949,12.0949633595821,92.9539380957402,149.355966455226,98.8350612064382,139.010150625232,102.713906769842,133.432529411624,0.639176790424174,0.0365750625733586,0.556289352807167,0.732318695229475,0.580974197655792,0.701249772079477,0.594303133265475,0.685932870044532,0,40,2020-04-04,109,2020-06-12,"Austria",343,40,116,2020-04-04,2020-06-19
2020-04-08,107.007568359061,11.0448976432494,84.0477103855826,135.975820061161,89.771104317375,126.181259416858,93.3473605488301,121.410825160853,0.646746717452745,0.0369301926065977,0.563889783835645,0.74023297344716,0.588080612140114,0.710107338512756,0.601373237468222,0.693530886836482,0,40,2020-04-04,109,2020-06-12,"Austria",329,40,116,2020-04-04,2020-06-19
2020-04-09,97.6692268330518,10.128549653949,76.6556134914393,124.152849759132,82.0518177407772,115.008066862487,85.2071804078302,110.954253605611,0.656132891469722,0.0372524320823413,0.571850355945968,0.750544473068362,0.597398644869752,0.718722027574822,0.610189796344057,0.702915799661546,0,40,2020-04-04,109,2020-06-12,"Austria",279,40,116,2020-04-04,2020-06-19
2020-04-10,89.5907558416076,9.32540077513658,70.304075586387,114.347450473928,75.4138427691242,105.651345919787,78.1862742018959,101.81837732998,0.667198432108251,0.0375525800654383,0.581834295291147,0.764524497338077,0.60803775826832,0.730075391287302,0.6212102000592,0.714536324574063,0,40,2020-04-04,109,2020-06-12,"Austria",312,40,116,2020-04-04,2020-06-19
2020-04-11,82.6093706518613,8.62022938722342,64.7874852615041,105.302871758259,69.4942833241387,97.5610174508815,72.116432584509,93.8677028066998,0.679789021810464,0.0378709867106231,0.593812211007623,0.7779274294609,0.619859787166413,0.742619235173242,0.633185996310593,0.727500593074891,0,40,2020-04-04,109,2020-06-12,"Austria",247,40,116,2020-04-04,2020-06-19
2020-04-12,76.5811181479314,8.00166408151836,60.1500426495009,97.8261124300249,64.4581432515125,90.7439501592857,66.8332138857394,86.9176388303588,0.693731364019023,0.038266328316817,0.607798354800553,0.790651870983995,0.632740609663234,0.757710816724632,0.646385397429137,0.741936315588791,0,40,2020-04-04,109,2020-06-12,"Austria",130,40,116,2020-04-04,2020-06-19
2020-04-13,71.3798346862789,7.46103922572948,55.9910207468584,91.3193761462241,60.1945253838123,84.4918597202559,62.3365598648513,81.0474233825404,0.708834821401318,0.0387941517339647,0.620989767086461,0.80852714614356,0.646560745814945,0.773899839566506,0.660782529576495,0.757933882288254,0,40,2020-04-04,109,2020-06-12,"Austria",106,40,116,2020-04-04,2020-06-19
2020-04-14,66.8958778505609,6.99155696628856,52.7987622099981,85.7168599361174,56.3440249517962,79.0710103857016,58.3270205037985,75.9716087501157,0.72489652064791,0.039483153200441,0.635008323894861,0.822948050128808,0.662017643945783,0.791118138004048,0.675492266233479,0.775260969858669,0,40,2020-04-04,109,2020-06-12,"Austria",191,40,116,2020-04-04,2020-06-19
2020-04-15,63.0347416923021,6.58759672917348,49.6297340585479,80.3972316175468,53.0491283113856,74.5443893539113,55.0206264771259,71.6450735637705,0.741709578789143,0.04032123502626,0.648754533832289,0.840996235273723,0.677493498408723,0.809298095918872,0.691465084009929,0.793412728270867,0,40,2020-04-04,109,2020-06-12,"Austria",136,40,116,2020-04-04,2020-06-19
2020-04-16,59.7156258357634,6.24410879317092,46.916762034775,76.3519289088133,50.2289985541163,70.5517207358619,52.1210469386242,67.8913964562746,0.759073263771766,0.0412592700301748,0.665240581027072,0.859047697198505,0.693061531402969,0.828620659593625,0.707525545723067,0.811606326322465,0,40,2020-04-04,109,2020-06-12,"Austria",78,40,116,2020-04-04,2020-06-19
2020-04-17,56.8699953332243,5.95614263180167,44.5757737955868,72.7396558287222,47.8127667273276,67.210751010576,49.5995455787186,64.6717605179053,0.776803143801898,0.0422296838724495,0.680429729734166,0.879383042163212,0.710026303472469,0.847547563629141,0.723849644549074,0.831028098697409,0,40,2020-04-04,109,2020-06-12,"Austria",155,40,116,2020-04-04,2020-06-19
2020-04-18,54.4401415204759,5.71856967219099,42.6621029081384,69.4997112534042,45.647479624421,64.4416480548005,47.428870696724,61.904178077515,0.794738947509168,0.043168210348102,0.694316532020592,0.901331297124842,0.72591747230395,0.86672563729289,0.741145914290432,0.849435350433454,0,40,2020-04-04,109,2020-06-12,"Austria",59,40,116,2020-04-04,2020-06-19
2020-04-19,52.3777376815876,5.52599136200717,40.9968103526974,66.6896769054849,43.9399273853342,61.991493691637,45.5945604419817,59.5785792854115,0.812748148738795,0.0440274879299618,0.709406782929846,0.923010632414835,0.742331281706424,0.885890989493579,0.758007776849011,0.868592969688756,1e-04,40,2020-04-04,109,2020-06-12,"Austria",48,40,116,2020-04-04,2020-06-19
2020-04-20,50.6423799797139,5.3727573807654,39.6584461292889,64.4626732595161,42.3615741080559,59.9548168501829,44.0549568605892,57.6580130511929,0.830724133115933,0.0447789501150955,0.724003829135668,0.942470513635359,0.759218659859951,0.904831625706115,0.774934589191619,0.886758312266969,8e-04,40,2020-04-04,109,2020-06-12,"Austria",73,40,116,2020-04-04,2020-06-19
2020-04-21,49.2001125111469,5.25301508982289,38.3185336520473,62.8872981292384,41.1173690755643,58.2807980029465,42.7754795360921,56.0226395538444,0.848578899239,0.0454075714895559,0.74121987714573,0.958573444369122,0.775583996710314,0.923870626160379,0.79225264221668,0.905667038328063,0.0021,40,2020-04-04,109,2020-06-12,"Austria",50,40,116,2020-04-04,2020-06-19
