"country_name","windowsize","bandwidth","nr_arcoefs","nr_macoefs","arima_convergence_warning","variance_tau","variance_first_diff_tau","autocovariance_tau","autocorrelation_tau","decay_time_tau","mean_tau","index_of_dispersion_tau","coefficient_of_variation_tau","skewness_tau","kurtosis_tau","variance_pvalue","variance_first_diff_pvalue","autocovariance_pvalue","autocorrelation_pvalue","decay_time_pvalue","mean_pvalue","index_of_dispersion_pvalue","coefficient_of_variation_pvalue","skewness_pvalue","kurtosis_pvalue","variance_pvalue_abs","variance_first_diff_pvalue_abs","autocovariance_pvalue_abs","autocorrelation_pvalue_abs","decay_time_pvalue_abs","mean_pvalue_abs","index_of_dispersion_pvalue_abs","coefficient_of_variation_pvalue_abs","skewness_pvalue_abs","kurtosis_pvalue_abs","backward_only","cut_first_window"
"Belgium",12,20,4,4,0,-0.816,0.103,-0.284,-0.151,-0.156,-0.862,-0.707,-0.314,0.167,0.128,1,0.082,0.776,0.626,0.632,1,1,0.938,0.288,0.364,0,0.262,0.464,0.702,0.69,0,0,0.114,0.576,0.714,TRUE,TRUE
"Bulgaria",12,20,1,1,1,0.714,0.077,0.89,0.868,0.884,-0.912,0.802,0.846,-0.626,-0.868,0.188,0.282,0.048,0.06,0.019,0.954,0.054,0.046,0.82,0.984,0.226,0.786,0.062,0.098,0.036,0.106,0.1,0.08,0.4,0.044,TRUE,TRUE
"Croatia",12,20,1,1,1,-0.661,-0.317,0.2,0.567,0.567,-1,0.217,0.8,-0.517,-0.862,0.944,0.9,0.496,0.21,0.196,1,0.342,0.038,0.766,0.97,0.274,0.154,0.844,0.396,0.389,0.004,0.672,0.074,0.512,0.034,TRUE,TRUE
"Cyprus",12,20,5,3,0,-0.727,0.373,-0.54,-0.325,-0.349,-0.808,-0.535,0.598,0.428,0.424,1,0,0.984,0.922,0.947,0.956,0.97,0.026,0.056,0.014,0,0,0.04,0.234,0.162,0.094,0.064,0.056,0.108,0.042,TRUE,TRUE
"Czechia",12,20,1,5,1,-0.732,-0.011,-0.431,-0.335,-0.352,-0.57,-0.605,-0.486,0.392,-0.087,0.996,0.392,0.932,0.88,0.88,0.856,0.99,0.968,0.156,0.54,0.024,0.922,0.272,0.366,0.362,0.28,0.024,0.076,0.258,0.818,TRUE,TRUE
"Denmark",12,20,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,0.566,1,0.232,0.232,0.159,1,0.216,0.222,0.254,1,0.566,0.356,0.494,0.476,0.427,0.468,0.43,0.424,0.514,0.506,TRUE,TRUE
"Estonia",12,20,1,1,0,-0.105,0.125,-0.315,-0.597,-0.597,-0.306,0.286,0.448,0.194,0.532,0.718,0.128,0.83,0.94,0.94,0.648,0.19,0.07,0.344,0.05,0.814,0.462,0.526,0.158,0.158,0.718,0.344,0.152,0.698,0.148,TRUE,TRUE
"Finland",12,20,2,5,1,-0.209,-0.065,0.039,0.181,0.108,-0.931,0.437,0.732,0.4,-0.008,0.772,0.598,0.44,0.304,0.362,1,0.022,0,0.074,0.518,0.574,0.536,0.926,0.654,0.777,0,0.046,0,0.154,0.976,TRUE,TRUE
"France",12,20,2,2,1,-0.155,0.136,-0.653,-0.449,-0.482,-0.365,0.023,0.234,0.281,-0.026,0.81,0,1,0.974,0.978,0.89,0.474,0.108,0.042,0.496,0.498,0,0,0.042,0.042,0.22,0.922,0.192,0.076,0.902,TRUE,TRUE
"Germany",12,20,5,3,1,-0.776,-0.205,-0.771,-0.634,-0.634,-0.995,-0.541,0.285,0.363,-0.141,1,0.938,1,0.976,0.976,1,0.934,0.16,0.242,0.634,0.012,0.08,0.008,0.05,0.048,0,0.104,0.382,0.424,0.71,TRUE,TRUE
"Greece",12,20,1,2,0,-0.796,-0.056,-0.101,-0.006,0.03,-0.892,-0.581,-0.205,-0.094,-0.165,1,0.596,0.57,0.504,0.461,0.998,0.996,0.784,0.61,0.648,0.002,0.626,0.806,0.996,0.94,0.002,0.01,0.424,0.814,0.644,TRUE,TRUE
"Hungary",12,20,1,4,1,-0.848,0.203,0.116,0.065,0.061,-0.964,-0.688,-0.42,-0.21,-0.109,0.996,0.088,0.46,0.5,0.502,0.998,0.974,0.88,0.64,0.53,0.012,0.228,0.852,0.902,0.905,0.006,0.074,0.244,0.726,0.856,TRUE,TRUE
"Ireland",12,20,3,2,0,-0.479,0.096,-0.52,-0.375,-0.388,-0.358,-0.466,-0.249,0.809,0.484,0.956,0.082,0.952,0.866,0.858,0.728,0.986,0.824,0.004,0.044,0.178,0.386,0.15,0.338,0.336,0.524,0.04,0.362,0.004,0.09,TRUE,TRUE
"Italy",12,20,4,4,1,-0.356,0.08,-0.074,0.029,0.024,-0.401,-0.285,-0.133,0.587,-0.076,0.888,0.052,0.634,0.48,0.48,0.73,0.82,0.648,0.006,0.59,0.264,0.238,0.822,0.918,0.922,0.518,0.362,0.682,0.018,0.792,TRUE,TRUE
"Latvia",12,20,2,1,1,-0.383,-0.146,0.692,0.692,0.759,-0.873,0.296,0.644,0.296,-0.249,0.784,0.742,0.042,0.054,0.022,1,0.07,0.002,0.292,0.616,0.514,0.42,0.102,0.12,0.056,0,0.136,0.002,0.562,0.658,TRUE,TRUE
"Lithuania",12,20,1,1,1,-0.752,-0.162,0.181,0.581,0.581,-0.962,0.581,0.733,0.143,-0.2,0.972,0.71,0.464,0.208,0.203,1,0.072,0.036,0.426,0.562,0.168,0.516,0.856,0.376,0.37,0.008,0.146,0.058,0.874,0.758,TRUE,TRUE
"Luxembourg",12,20,5,4,1,-0.915,0.216,-0.747,-0.182,-0.184,-0.95,-0.752,0.06,0.1,0.282,1,0,0.996,0.67,0.674,1,1,0.438,0.376,0.126,0,0,0.004,0.686,0.678,0,0.004,0.854,0.774,0.274,TRUE,TRUE
"Malta",12,20,1,1,1,-0.676,-0.118,-0.485,-0.397,-0.367,-0.845,-0.382,-0.176,-0.706,-0.868,0.97,0.64,0.826,0.74,0.693,0.946,0.838,0.662,0.906,0.99,0.202,0.588,0.436,0.554,0.626,0.1,0.326,0.654,0.2,0.014,TRUE,TRUE
"Netherlands",12,20,1,1,1,-0.324,-0.338,-0.206,-0.206,-0.206,-1,0.382,0.838,-0.074,0.059,0.778,0.892,0.686,0.638,0.636,1,0.194,0.014,0.572,0.444,0.646,0.15,0.79,0.818,0.82,0,0.378,0.026,0.924,0.954,TRUE,TRUE
"Poland",12,20,1,1,1,-0.594,-0.138,-0.703,-0.493,-0.493,-0.601,-0.493,-0.428,0.536,0.739,0.944,0.652,0.97,0.852,0.838,0.758,0.93,0.888,0.176,0.014,0.21,0.482,0.104,0.366,0.383,0.504,0.164,0.22,0.336,0.042,TRUE,TRUE
"Portugal",12,20,2,2,0,-0.586,-0.251,-0.241,0.596,0.596,-0.872,-0.374,-0.108,-0.498,0.35,0.946,0.952,0.69,0.076,0.076,0.988,0.898,0.65,0.856,0.224,0.178,0.076,0.624,0.162,0.164,0.02,0.216,0.728,0.296,0.434,TRUE,TRUE
"Romania",12,20,1,4,1,-0.425,-0.046,0.137,0.32,0.32,-0.935,-0.033,0.373,-0.072,0.255,0.758,0.46,0.424,0.288,0.288,1,0.586,0.042,0.582,0.288,0.584,0.86,0.9,0.698,0.7,0,0.912,0.094,0.918,0.652,TRUE,TRUE
"Slovakia",12,20,1,2,1,-0.875,0.215,-0.635,-0.19,-0.19,-0.908,-0.582,0.577,0.054,-0.316,1,0.012,0.974,0.702,0.704,1,0.998,0.016,0.444,0.806,0,0.058,0.074,0.624,0.626,0,0.012,0.028,0.896,0.366,TRUE,TRUE
"Slovenia",12,20,1,1,1,-0.553,0.282,-0.742,-0.465,-0.465,-0.508,0.078,0.396,0.799,0.183,0.97,0,0.996,0.914,0.915,0.72,0.386,0.154,0.016,0.31,0.152,0.004,0.024,0.246,0.264,0.572,0.802,0.3,0.026,0.642,TRUE,TRUE
"Sweden",12,20,1,3,1,-0.255,-0.281,-0.072,0.725,0.725,-1,0.346,0.725,-0.425,0.033,0.72,0.76,0.63,0.114,0.114,1,0.222,0.06,0.696,0.448,0.774,0.334,0.95,0.212,0.214,0.02,0.464,0.122,0.614,0.974,TRUE,TRUE
"United Kingdom",12,20,5,2,1,-0.012,0.198,-0.294,-0.387,-0.387,-0.359,0.153,0.323,0.786,-0.673,0.648,0.02,0.8,0.86,0.858,0.628,0.392,0.244,0.006,0.978,0.996,0.096,0.624,0.356,0.352,0.744,0.694,0.458,0.02,0.042,TRUE,TRUE
"Austria",13,20,3,2,1,-0.881,0.09,-0.515,-0.439,-0.467,-0.968,-0.714,-0.362,0.367,0.57,1,0.102,0.974,0.938,0.954,0.998,1,0.94,0.11,0.002,0,0.424,0.142,0.224,0.18,0.002,0,0.142,0.22,0.018,TRUE,TRUE
"Belgium",13,20,4,4,0,-0.863,0.112,-0.367,-0.206,-0.203,-0.856,-0.737,-0.365,0.166,0.143,1,0.072,0.86,0.704,0.709,0.998,1,0.954,0.3,0.352,0.002,0.242,0.35,0.63,0.622,0.002,0,0.094,0.628,0.704,TRUE,TRUE
"Bulgaria",13,20,1,1,1,0.667,0.026,0.872,0.846,0.846,-0.949,0.744,0.821,-0.769,-0.821,0.226,0.354,0.044,0.04,0.036,0.982,0.084,0.064,0.882,0.958,0.276,0.954,0.068,0.07,0.054,0.068,0.176,0.116,0.242,0.066,TRUE,TRUE
"Croatia",13,20,1,1,1,-0.6,-0.257,0.238,0.657,0.657,-1,0.352,0.867,-0.524,-0.81,0.936,0.82,0.488,0.182,0.184,1,0.26,0.026,0.76,0.966,0.386,0.288,0.78,0.306,0.305,0.004,0.514,0.058,0.532,0.062,TRUE,TRUE
"Cyprus",13,20,5,3,0,-0.744,0.334,-0.555,-0.344,-0.365,-0.803,-0.562,0.611,0.426,0.412,1,0,0.988,0.93,0.964,0.948,0.978,0.034,0.054,0.024,0,0,0.026,0.184,0.109,0.11,0.046,0.056,0.128,0.078,TRUE,TRUE
"Czechia",13,20,1,5,1,-0.771,0.003,-0.46,-0.321,-0.327,-0.553,-0.643,-0.513,0.377,-0.056,1,0.298,0.932,0.84,0.842,0.846,0.992,0.976,0.168,0.56,0.016,0.988,0.254,0.438,0.43,0.33,0.008,0.05,0.314,0.878,TRUE,TRUE
"Denmark",13,20,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"Estonia",13,20,1,1,0,-0.078,0.243,-0.252,-0.622,-0.622,-0.258,0.394,0.484,0.282,0.591,0.672,0.022,0.778,0.954,0.952,0.646,0.102,0.048,0.276,0.022,0.87,0.136,0.63,0.128,0.128,0.738,0.184,0.09,0.594,0.094,TRUE,TRUE
"Finland",13,20,2,5,1,-0.213,-0.087,0.008,0.145,0.11,-0.927,0.398,0.756,0.44,0.069,0.77,0.658,0.502,0.368,0.412,1,0.018,0,0.066,0.356,0.598,0.466,0.986,0.722,0.795,0,0.052,0,0.12,0.848,TRUE,TRUE
"France",13,20,2,2,1,-0.173,0.133,-0.671,-0.454,-0.496,-0.351,-0.002,0.188,0.246,-0.051,0.784,0,0.998,0.976,0.978,0.876,0.478,0.13,0.08,0.586,0.488,0.002,0.002,0.06,0.042,0.248,0.994,0.278,0.164,0.818,TRUE,TRUE
"Germany",13,20,5,3,1,-0.826,-0.154,-0.836,-0.69,-0.69,-0.994,-0.587,0.279,0.354,-0.121,0.998,0.826,1,0.99,0.992,0.998,0.95,0.186,0.23,0.618,0.01,0.228,0.002,0.032,0.03,0.004,0.1,0.42,0.484,0.736,TRUE,TRUE
"Greece",13,20,1,2,0,-0.81,0.013,-0.052,0.017,0.049,-0.899,-0.589,-0.245,-0.122,-0.194,1,0.338,0.55,0.506,0.47,1,0.99,0.818,0.636,0.7,0.002,0.932,0.894,0.98,0.904,0,0.016,0.356,0.738,0.576,TRUE,TRUE
"Hungary",13,20,1,4,1,-0.834,0.194,0.107,0.115,0.098,-0.96,-0.676,-0.391,-0.209,-0.154,0.998,0.114,0.468,0.472,0.507,0.998,0.964,0.886,0.59,0.548,0.02,0.316,0.868,0.87,0.876,0.004,0.086,0.266,0.792,0.806,TRUE,TRUE
"Ireland",13,20,3,2,0,-0.509,0.039,-0.566,-0.41,-0.418,-0.331,-0.466,-0.287,0.823,0.481,0.968,0.232,0.976,0.888,0.88,0.664,0.978,0.864,0,0.058,0.144,0.72,0.088,0.292,0.296,0.608,0.062,0.31,0,0.134,TRUE,TRUE
"Italy",13,20,4,4,1,-0.381,0.129,-0.08,0.017,0.01,-0.385,-0.321,-0.178,0.585,-0.046,0.886,0.016,0.594,0.492,0.512,0.674,0.84,0.682,0.006,0.584,0.272,0.058,0.838,0.958,0.982,0.61,0.31,0.604,0.016,0.854,TRUE,TRUE
"Latvia",13,20,2,1,1,-0.463,-0.03,0.792,0.81,0.834,-0.878,0.42,0.697,0.264,-0.359,0.816,0.532,0.016,0.008,0.004,1,0.048,0,0.326,0.734,0.466,0.872,0.054,0.034,0.02,0,0.074,0,0.634,0.482,TRUE,TRUE
"Lithuania",13,20,1,1,1,-0.626,-0.077,0.231,0.429,0.429,-0.956,0.407,0.67,0.275,-0.033,0.91,0.52,0.424,0.304,0.313,0.986,0.154,0.066,0.344,0.456,0.326,0.752,0.804,0.592,0.613,0.02,0.35,0.152,0.714,0.972,TRUE,TRUE
"Luxembourg",13,20,5,4,1,-0.938,0.326,-0.759,-0.169,-0.17,-0.949,-0.748,0.032,0.117,0.304,1,0,0.998,0.664,0.659,1,0.996,0.448,0.344,0.152,0,0,0.002,0.64,0.645,0,0.004,0.922,0.708,0.298,TRUE,TRUE
"Malta",13,20,1,1,1,-0.65,-0.1,-0.467,-0.483,-0.487,-0.858,-0.383,-0.083,-0.7,-0.833,0.94,0.566,0.786,0.77,0.754,0.966,0.858,0.62,0.898,0.99,0.242,0.722,0.464,0.47,0.49,0.074,0.328,0.87,0.22,0.02,TRUE,TRUE
"Netherlands",13,20,1,1,1,-0.233,-0.3,-0.25,-0.167,-0.167,-1,0.383,0.9,0.017,-0.067,0.722,0.814,0.674,0.584,0.582,1,0.186,0.008,0.53,0.504,0.806,0.256,0.792,0.866,0.866,0.01,0.356,0.012,0.994,0.928,TRUE,TRUE
"Poland",13,20,1,1,1,-0.644,-0.217,-0.676,-0.51,-0.51,-0.565,-0.502,-0.407,0.462,0.708,0.962,0.79,0.958,0.852,0.849,0.734,0.898,0.86,0.244,0.028,0.218,0.292,0.16,0.346,0.365,0.52,0.192,0.276,0.46,0.068,TRUE,TRUE
"Portugal",13,20,2,2,0,-0.624,-0.302,-0.27,0.566,0.566,-0.862,-0.376,-0.085,-0.561,0.402,0.956,0.956,0.652,0.112,0.124,0.986,0.906,0.65,0.894,0.17,0.148,0.066,0.698,0.23,0.252,0.032,0.178,0.798,0.254,0.382,TRUE,TRUE
"Romania",13,20,1,4,1,-0.471,-0.206,0.162,0.279,0.279,-0.926,-0.132,0.353,-0.059,0.235,0.77,0.724,0.448,0.346,0.343,1,0.712,0.07,0.526,0.344,0.574,0.434,0.878,0.734,0.732,0,0.608,0.146,0.924,0.718,TRUE,TRUE
"Slovakia",13,20,1,2,1,-0.888,0.235,-0.622,-0.223,-0.223,-0.913,-0.605,0.622,0.064,-0.302,1,0.014,0.972,0.732,0.728,1,0.988,0.004,0.456,0.77,0,0.066,0.108,0.616,0.624,0.004,0.022,0.014,0.86,0.43,TRUE,TRUE
"Slovenia",13,20,1,1,1,-0.565,0.224,-0.797,-0.47,-0.47,-0.48,-0.013,0.346,0.781,0.181,0.952,0.012,1,0.918,0.916,0.7,0.512,0.176,0.018,0.332,0.192,0.068,0.004,0.272,0.273,0.582,0.982,0.36,0.042,0.686,TRUE,TRUE
"Sweden",13,20,1,3,1,-0.397,-0.5,-0.118,0.779,0.779,-1,0.5,0.809,-0.397,0.015,0.802,0.936,0.666,0.082,0.084,1,0.146,0.042,0.73,0.438,0.696,0.072,0.926,0.162,0.168,0.032,0.322,0.11,0.642,0.994,TRUE,TRUE
"United Kingdom",13,20,5,2,1,-0.049,0.135,-0.286,-0.449,-0.449,-0.316,0.187,0.333,0.819,-0.677,0.638,0.096,0.774,0.866,0.862,0.57,0.34,0.242,0.024,0.962,0.94,0.316,0.642,0.312,0.319,0.834,0.618,0.44,0.034,0.052,TRUE,TRUE
"Austria",14,20,3,2,1,-0.898,0.151,-0.522,-0.439,-0.472,-0.967,-0.727,-0.384,0.39,0.584,1,0.03,0.958,0.932,0.944,1,1,0.918,0.106,0.006,0,0.182,0.154,0.212,0.184,0,0,0.132,0.21,0.012,TRUE,TRUE
"Belgium",14,20,4,4,0,-0.886,0.038,-0.382,-0.188,-0.195,-0.849,-0.791,-0.5,0.217,0.165,1,0.238,0.846,0.654,0.667,1,1,0.992,0.284,0.324,0,0.686,0.33,0.66,0.637,0,0,0.016,0.546,0.65,TRUE,TRUE
"Bulgaria",14,20,1,1,1,0.606,-0.061,0.909,0.909,0.909,-0.97,0.848,0.848,-0.788,-0.818,0.312,0.512,0.034,0.02,0.011,0.996,0.042,0.038,0.926,0.952,0.394,0.844,0.05,0.036,0.02,0.054,0.082,0.074,0.212,0.094,TRUE,TRUE
"Croatia",14,20,1,1,1,-0.582,-0.407,0.297,0.736,0.736,-1,0.429,0.89,-0.604,-0.846,0.912,0.952,0.44,0.152,0.135,1,0.194,0.026,0.796,0.966,0.392,0.066,0.756,0.27,0.254,0.01,0.386,0.042,0.434,0.056,TRUE,TRUE
"Cyprus",14,20,5,3,0,-0.756,0.391,-0.564,-0.346,-0.377,-0.799,-0.587,0.616,0.427,0.423,1,0,0.982,0.92,0.95,0.96,0.992,0.03,0.058,0.034,0,0,0.034,0.226,0.156,0.088,0.032,0.052,0.146,0.07,TRUE,TRUE
"Czechia",14,20,1,5,1,-0.818,-0.055,-0.498,-0.31,-0.32,-0.534,-0.683,-0.534,0.343,-0.022,1,0.506,0.932,0.806,0.806,0.846,0.994,0.966,0.188,0.522,0.008,0.676,0.244,0.514,0.502,0.332,0.01,0.054,0.38,0.966,TRUE,TRUE
"Denmark",14,20,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"Estonia",14,20,1,1,0,-0.039,0.306,-0.297,-0.733,-0.733,-0.206,0.513,0.398,0.31,0.568,0.602,0.012,0.77,0.972,0.972,0.598,0.028,0.09,0.292,0.078,0.968,0.06,0.6,0.062,0.062,0.824,0.07,0.184,0.572,0.168,TRUE,TRUE
"Finland",14,20,2,5,1,-0.251,-0.11,0.01,0.134,0.103,-0.924,0.412,0.72,0.468,0.161,0.776,0.718,0.512,0.388,0.412,1,0.038,0,0.056,0.328,0.58,0.37,0.972,0.76,0.786,0,0.058,0,0.122,0.674,TRUE,TRUE
"France",14,20,2,2,1,-0.194,0.246,-0.7,-0.479,-0.522,-0.338,-0.026,0.149,0.219,-0.07,0.794,0,1,0.972,0.978,0.874,0.586,0.206,0.124,0.576,0.424,0,0,0.054,0.034,0.258,0.884,0.422,0.262,0.772,TRUE,TRUE
"Germany",14,20,5,3,1,-0.854,-0.217,-0.868,-0.757,-0.757,-0.994,-0.606,0.255,0.404,-0.155,1,0.916,1,0.998,0.998,1,0.954,0.234,0.2,0.664,0.01,0.106,0.004,0.016,0.016,0,0.096,0.456,0.402,0.704,TRUE,TRUE
"Greece",14,20,1,2,0,-0.851,-0.059,-0.012,0.066,0.062,-0.908,-0.602,-0.254,-0.171,-0.176,0.998,0.56,0.566,0.502,0.518,0.994,0.992,0.826,0.656,0.662,0.004,0.65,0.984,0.874,0.893,0.006,0.01,0.338,0.696,0.628,TRUE,TRUE
"Hungary",14,20,1,4,1,-0.87,0.169,0.056,0.126,0.164,-0.956,-0.68,-0.411,-0.247,-0.134,1,0.12,0.49,0.456,0.423,0.994,0.954,0.854,0.63,0.57,0.022,0.378,0.94,0.852,0.774,0.01,0.106,0.318,0.758,0.828,TRUE,TRUE
"Ireland",14,20,3,2,0,-0.528,0.092,-0.583,-0.452,-0.458,-0.303,-0.475,-0.344,0.814,0.505,0.954,0.076,0.944,0.864,0.864,0.748,0.974,0.906,0,0.038,0.168,0.406,0.128,0.268,0.289,0.592,0.056,0.184,0.002,0.116,TRUE,TRUE
"Italy",14,20,4,4,1,-0.408,0.162,-0.082,0.022,0.016,-0.368,-0.353,-0.21,0.599,-0.045,0.918,0.006,0.616,0.478,0.488,0.716,0.888,0.75,0.014,0.552,0.196,0.02,0.812,0.94,0.952,0.592,0.232,0.528,0.024,0.874,TRUE,TRUE
"Latvia",14,20,2,1,1,-0.419,0,0.886,0.876,0.828,-0.865,0.571,0.743,0.171,-0.581,0.8,0.412,0.002,0,0,1,0.004,0,0.416,0.84,0.51,1,0.004,0.002,0.02,0.002,0.008,0,0.806,0.258,TRUE,TRUE
"Lithuania",14,20,1,1,1,-0.667,-0.154,-0.026,0.231,0.231,-0.949,0.487,0.692,0.103,0.051,0.928,0.718,0.534,0.392,0.378,0.996,0.124,0.046,0.486,0.442,0.302,0.462,0.988,0.786,0.766,0.018,0.274,0.096,0.924,0.968,TRUE,TRUE
"Luxembourg",14,20,5,4,1,-0.959,0.304,-0.785,-0.179,-0.179,-0.948,-0.768,-0.022,0.097,0.32,1,0,0.998,0.712,0.702,1,1,0.474,0.388,0.12,0,0,0.002,0.678,0.698,0.002,0,0.944,0.798,0.256,TRUE,TRUE
"Malta",14,20,1,1,1,-0.612,-0.2,-0.581,-0.543,-0.591,-0.837,-0.371,-0.124,-0.651,-0.861,0.902,0.726,0.856,0.81,0.831,0.95,0.822,0.62,0.826,0.974,0.338,0.382,0.35,0.42,0.333,0.116,0.364,0.764,0.338,0.036,TRUE,TRUE
"Netherlands",14,20,1,1,1,-0.295,-0.39,-0.257,-0.257,-0.257,-1,0.352,0.981,-0.067,0.067,0.754,0.934,0.668,0.582,0.582,1,0.198,0,0.524,0.404,0.73,0.09,0.774,0.786,0.786,0.002,0.416,0,0.958,0.944,TRUE,TRUE
"Poland",14,20,1,1,1,-0.732,-0.195,-0.714,-0.584,-0.584,-0.524,-0.576,-0.437,0.429,0.628,0.99,0.748,0.972,0.874,0.876,0.71,0.942,0.9,0.268,0.068,0.12,0.346,0.134,0.332,0.329,0.564,0.148,0.26,0.564,0.204,TRUE,TRUE
"Portugal",14,20,2,2,0,-0.618,-0.328,-0.276,0.538,0.538,-0.852,-0.328,-0.048,-0.538,0.442,0.966,0.982,0.712,0.148,0.149,0.968,0.87,0.568,0.86,0.204,0.168,0.038,0.658,0.286,0.288,0.06,0.31,0.91,0.278,0.386,TRUE,TRUE
"Romania",14,20,1,4,1,-0.5,-0.283,0.15,0.267,0.267,-0.917,0.117,0.567,-0.083,0.35,0.798,0.852,0.448,0.326,0.329,1,0.322,0.002,0.546,0.246,0.512,0.206,0.888,0.73,0.735,0.002,0.682,0.014,0.902,0.572,TRUE,TRUE
"Slovakia",14,20,1,2,1,-0.865,0.147,-0.628,-0.222,-0.222,-0.918,-0.625,0.682,0.099,-0.342,1,0.066,0.97,0.712,0.71,1,0.99,0.002,0.414,0.798,0.002,0.266,0.102,0.614,0.61,0.004,0.016,0.002,0.818,0.4,TRUE,TRUE
"Slovenia",14,20,1,1,1,-0.582,0.261,-0.839,-0.492,-0.492,-0.449,-0.126,0.291,0.765,0.195,0.964,0,0.998,0.874,0.867,0.65,0.654,0.25,0.024,0.3,0.168,0.034,0.002,0.274,0.313,0.668,0.74,0.48,0.048,0.674,TRUE,TRUE
"Sweden",14,20,1,3,1,-0.383,-0.567,-0.067,0.8,0.8,-1,0.717,0.95,-0.483,0.083,0.806,0.966,0.654,0.094,0.096,1,0.062,0.008,0.732,0.384,0.664,0.042,0.956,0.182,0.184,0.044,0.14,0.022,0.594,0.91,TRUE,TRUE
"United Kingdom",14,20,5,2,1,-0.067,0.182,-0.343,-0.485,-0.485,-0.269,0.172,0.329,0.793,-0.669,0.68,0.052,0.76,0.858,0.854,0.576,0.31,0.224,0.028,0.962,0.938,0.228,0.66,0.338,0.347,0.846,0.662,0.484,0.084,0.062,TRUE,TRUE
"Austria",15,20,3,2,1,-0.9,0.092,-0.526,-0.435,-0.466,-0.966,-0.742,-0.421,0.419,0.603,1,0.078,0.968,0.914,0.944,1,1,0.95,0.086,0.004,0,0.486,0.138,0.256,0.196,0,0,0.126,0.164,0.022,TRUE,TRUE
"Belgium",15,20,4,4,0,-0.861,0.063,-0.412,-0.196,-0.197,-0.842,-0.78,-0.529,0.228,0.109,1,0.182,0.796,0.622,0.616,1,1,0.996,0.268,0.418,0,0.534,0.374,0.712,0.712,0.002,0,0.004,0.53,0.812,TRUE,TRUE
"Bulgaria",15,20,1,1,1,0.6,-0.345,0.964,0.927,0.927,-0.964,0.891,0.891,-0.818,-0.891,0.342,0.902,0.012,0.02,0.009,0.992,0.04,0.042,0.916,0.984,0.402,0.158,0.018,0.034,0.018,0.056,0.082,0.084,0.222,0.042,TRUE,TRUE
"Croatia",15,20,1,1,1,-0.538,-0.436,0.462,0.821,0.821,-1,0.667,0.949,-0.667,-0.821,0.92,0.978,0.352,0.056,0.054,1,0.108,0.008,0.804,0.94,0.434,0.034,0.542,0.11,0.098,0.012,0.226,0.024,0.36,0.104,TRUE,TRUE
"Cyprus",15,20,5,3,0,-0.766,0.397,-0.568,-0.348,-0.385,-0.794,-0.604,0.587,0.431,0.42,1,0,0.98,0.906,0.949,0.946,0.986,0.04,0.074,0.02,0,0,0.044,0.25,0.145,0.094,0.038,0.068,0.12,0.068,TRUE,TRUE
"Czechia",15,20,1,5,1,-0.851,-0.073,-0.485,-0.317,-0.334,-0.512,-0.703,-0.556,0.311,-0.03,1,0.636,0.944,0.832,0.84,0.806,0.994,0.972,0.184,0.506,0.002,0.548,0.264,0.484,0.46,0.364,0.01,0.044,0.424,0.926,TRUE,TRUE
"Denmark",15,20,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE
"Estonia",15,20,1,1,0,-0.054,0.374,-0.414,-0.759,-0.759,-0.147,0.498,0.291,0.33,0.562,0.584,0.004,0.784,0.98,0.978,0.598,0.07,0.17,0.282,0.094,0.956,0.03,0.478,0.05,0.052,0.88,0.134,0.334,0.568,0.18,TRUE,TRUE
"Finland",15,20,2,5,1,-0.308,-0.192,-0.044,0.064,0.065,-0.92,0.428,0.726,0.521,0.272,0.802,0.934,0.568,0.5,0.498,1,0.032,0,0.046,0.242,0.536,0.09,0.946,0.912,0.891,0,0.06,0.002,0.096,0.542,TRUE,TRUE
"France",15,20,2,2,1,-0.219,0.221,-0.729,-0.495,-0.535,-0.324,-0.056,0.101,0.191,-0.083,0.816,0,1,0.986,0.994,0.824,0.604,0.25,0.162,0.624,0.454,0,0,0.042,0.028,0.332,0.758,0.562,0.31,0.722,TRUE,TRUE
"Germany",15,20,5,3,1,-0.872,-0.095,-0.872,-0.772,-0.772,-0.994,-0.61,0.229,0.383,-0.161,1,0.622,1,0.994,0.994,1,0.958,0.226,0.246,0.576,0.006,0.516,0.002,0.016,0.016,0,0.096,0.488,0.466,0.746,TRUE,TRUE
"Greece",15,20,1,2,0,-0.854,-0.008,0.015,0.103,0.155,-0.922,-0.621,-0.277,-0.203,-0.213,1,0.386,0.498,0.418,0.366,1,0.994,0.86,0.684,0.708,0.002,0.958,0.986,0.826,0.728,0,0.008,0.276,0.634,0.568,TRUE,TRUE
