"country_name","windowsize","bandwidth","nr_arcoefs","nr_macoefs","arima_convergence_warning","variance_tau","variance_first_diff_tau","autocovariance_tau","autocorrelation_tau","decay_time_tau","mean_tau","index_of_dispersion_tau","coefficient_of_variation_tau","skewness_tau","kurtosis_tau","variance_pvalue","variance_first_diff_pvalue","autocovariance_pvalue","autocorrelation_pvalue","decay_time_pvalue","mean_pvalue","index_of_dispersion_pvalue","coefficient_of_variation_pvalue","skewness_pvalue","kurtosis_pvalue","variance_pvalue_abs","variance_first_diff_pvalue_abs","autocovariance_pvalue_abs","autocorrelation_pvalue_abs","decay_time_pvalue_abs","mean_pvalue_abs","index_of_dispersion_pvalue_abs","coefficient_of_variation_pvalue_abs","skewness_pvalue_abs","kurtosis_pvalue_abs","backward_only","cut_first_window"
"Ireland",6,2,2,3,1,-0.124,0.063,0.186,0.065,-0.159,-0.04,-0.108,-0.091,0.377,-0.152,0.712,0.186,0.184,0.356,0.804,0.748,0.912,0.874,0.01,0.772,0.642,0.398,0.456,0.768,0.279,0.492,0.192,0.258,0.016,0.45,TRUE,TRUE
"Italy",6,2,5,4,0,-0.142,0.054,0.082,0.103,0.02,-0.046,-0.163,-0.189,0.171,-0.172,0.79,0.12,0.326,0.256,0.416,0.732,0.982,0.992,0.094,0.858,0.446,0.246,0.666,0.536,0.87,0.542,0.038,0.018,0.186,0.232,TRUE,TRUE
"Latvia",6,2,2,2,0,-0.333,-0.15,0.275,0.254,0.235,-0.348,-0.127,-0.022,0.148,0.129,0.83,0.868,0.21,0.21,0.155,1,0.886,0.596,0.248,0.302,0.338,0.206,0.422,0.438,0.354,0,0.24,0.872,0.5,0.658,TRUE,TRUE
"Lithuania",6,2,1,1,1,-0.342,0.039,0.263,-0.062,-0.077,-0.202,-0.162,-0.057,-0.106,0.265,0.814,0.348,0.224,0.51,0.478,0.984,0.874,0.658,0.674,0.226,0.396,0.8,0.496,0.88,0.805,0.032,0.276,0.7,0.66,0.46,TRUE,TRUE
"Luxembourg",6,2,4,4,0,-0.71,0.165,0.501,-0.063,0.007,-0.633,-0.56,-0.084,0.179,0.162,0.994,0.008,0.082,0.634,0.519,1,1,0.894,0.098,0.174,0.01,0.008,0.166,0.702,0.966,0,0,0.21,0.178,0.376,TRUE,TRUE
"Malta",6,2,2,2,1,-0.599,-0.29,-0.282,-0.586,-0.072,-0.354,0,0.325,-0.512,-0.341,0.968,0.978,0.746,0.968,0.552,1,0.518,0.006,0.976,0.828,0.076,0.044,0.458,0.056,0.83,0,1,0.008,0.034,0.266,TRUE,TRUE
"Netherlands",6,2,2,2,1,-0.515,0.209,-0.233,-0.273,-0.341,-0.721,-0.059,0.289,0.111,0.404,0.924,0.062,0.718,0.782,0.894,1,0.642,0.032,0.336,0.058,0.156,0.16,0.54,0.412,0.14,0,0.75,0.062,0.682,0.18,TRUE,TRUE
"Poland",6,2,1,1,1,-0.14,0.108,0.274,0.26,0.101,0.076,-0.154,-0.168,0.462,-0.632,0.674,0.172,0.19,0.198,0.256,0.208,0.9,0.926,0.004,0.998,0.676,0.44,0.414,0.414,0.615,0.416,0.196,0.162,0.004,0.004,TRUE,TRUE
"Portugal",6,2,2,3,1,-0.686,-0.022,0.708,0.348,0.103,-0.32,-0.486,-0.392,-0.082,0,0.998,0.57,0.004,0.088,0.28,1,1,1,0.694,0.438,0.01,0.828,0.012,0.218,0.634,0,0,0,0.652,1,TRUE,TRUE
"Romania",6,2,1,1,0,-0.449,0.036,0.42,0.355,0.277,-0.287,-0.348,-0.283,0.42,-0.051,0.91,0.366,0.1,0.144,0.093,0.998,0.994,0.99,0.02,0.564,0.184,0.812,0.244,0.33,0.278,0.006,0.01,0.026,0.048,0.882,TRUE,TRUE
